id,photo,web_name,team_code,status,code,first_name,second_name,squad_number,news,now_cost,chance_of_playing_this_round,chance_of_playing_next_round,value_form,value_season,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,in_dreamteam,dreamteam_count,selected_by_percent,form,transfers_out,transfers_in,transfers_out_event,transfers_in_event,loans_in,loans_out,loaned_in,loaned_out,total_points,event_points,points_per_game,ep_this,ep_next,special,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,element_type,team
514,91979.jpg,Flanagan,14,a,91979,Jon,Flanagan,38,"",45,,,0.0,0.0,0,0,0,0,false,0,0.0,0.0,533,497,1,0,0,0,0,0,0,0,0.0,1.0,1.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,10
515,138009.jpg,Kaikai,31,a,138009,Sullay,Kaikai,25,"",44,,,0.0,0.2,-1,0,1,0,false,0,0.1,0.0,8116,12229,3,3,0,0,0,0,1,0,1.0,0.0,-1.0,false,13,0,0,0,0,0,0,0,0,0,0,0,5,5.2,0.3,0.0,0.6,0,3,6
516,43521.jpg,Saivet,4,a,43521,Henri,Saivet,24,"",45,,,0.0,0.0,0,0,0,0,false,0,0.0,0.0,1386,1650,0,0,0,0,0,0,0,0,0.0,-0.5,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,13
517,167473.jpg,Izquierdo,36,a,167473,José Heriberto,Izquierdo Mena,19,"",59,,,0.5,2.2,-1,0,1,0,false,0,0.0,2.8,1872,3649,2,3,0,0,0,0,13,0,2.6,2.3,2.8,false,184,1,0,1,3,0,0,0,0,0,0,0,37,43.4,27.7,59.0,13.1,0,3,3
518,60689.jpg,Wood,90,d,60689,Chris,Wood,11,Hamstring injury - 50% chance of playing,65,50,50,0.4,4.5,0,0,0,0,false,0,1.9,2.5,147185,220618,105,3,0,0,0,0,29,0,4.1,1.5,1.3,false,498,3,0,3,2,0,0,0,1,0,0,6,84,131.0,55.8,165.0,35.2,0,4,4
519,74033.jpg,Clucas,80,a,74033,Sam,Clucas,17,"",49,,,0.1,2.2,-1,0,1,0,false,0,0.0,0.5,3249,4310,1,0,0,0,0,0,11,0,1.8,-0.5,0.5,false,324,0,0,2,3,0,0,0,0,0,0,0,50,53.0,28.8,1.0,8.2,0,3,16
520,173904.jpg,Sánchez,6,a,173904,Davinson,Sánchez,6,"",60,100,100,0.6,4.7,0,0,0,0,false,0,0.4,3.5,7992,20068,25,11,0,0,0,0,28,0,4.0,3.5,4.5,false,541,0,0,4,3,0,0,0,0,0,0,0,146,132.6,5.6,8.0,14.5,0,2,17
521,172246.jpg,Hadergjonaj,38,a,172246,Florent,Hadergjonaj,33,"",45,,,0.0,0.2,0,0,0,0,false,0,0.0,0.0,237,290,0,0,0,0,0,0,1,0,1.0,-1.0,0.0,false,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,2,8
522,246878.jpg,Sabiri,38,a,246878,Abdelhamid,Sabiri,11,"",50,,,0.0,1.6,0,0,0,0,false,0,0.0,0.0,627,811,0,0,0,0,0,0,8,0,2.7,-1.0,0.0,false,158,0,1,1,2,0,0,0,1,0,0,0,24,24.6,27.2,49.0,10.0,0,3,8
523,9808.jpg,Ibrahimovic,1,i,9808,Zlatan,Ibrahimovic,10,Knee injury - Unknown return date,100,0,0,0.0,0.0,0,0,0,0,false,0,0.1,0.0,3147,2798,3,3,0,0,0,0,0,0,0.0,0.0,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,12
524,197937.jpg,Burke,35,d,197937,Oliver,Burke,17,Hamstring injury - 75% chance of playing,53,75,75,0.0,0.9,-2,0,2,0,false,0,0.0,0.0,2775,3288,1,0,0,0,0,0,5,0,2.5,-1.1,0.0,false,35,0,1,0,1,0,0,0,0,0,0,0,16,23.2,27.8,5.0,5.6,0,3,19
525,167075.jpg,Hoedt,20,a,167075,Wesley,Hoedt,6,"",50,,,0.0,2.0,0,0,0,0,false,0,0.0,0.0,2803,3960,1,0,0,0,0,0,10,0,3.3,0.5,0.0,false,270,0,0,1,3,0,0,0,0,0,0,1,60,58.8,13.3,20.0,9.2,0,2,14
526,198501.jpg,Haksabanovic,21,a,198501,Sead,Haksabanovic,23,"",50,,,0.0,0.0,0,0,0,0,false,0,0.0,0.0,240,321,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,20
527,100412.jpg,Carrillo,57,a,100412,André,Carrillo,28,"",55,,,0.2,2.7,0,0,0,0,false,0,0.0,1.0,1926,3349,1,1,0,0,0,0,15,0,2.1,1.0,0.5,false,422,0,1,1,12,0,0,0,0,0,0,0,53,35.2,38.9,80.0,15.4,0,3,18
528,204216.jpg,Anderson,31,n,204216,Keshi,Anderson,31,Joined Swindon Town on loan until January 2018. - Unknown return date,45,0,0,0.0,0.0,0,0,0,0,false,0,0.5,0.0,27910,43806,17,26,0,0,0,0,0,0,0.0,0.0,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,6
529,155503.jpg,Woodman,4,a,155503,Freddie,Woodman,41,"",40,,,0.0,0.0,0,0,0,0,false,0,0.2,0.0,3245,9994,1,1,0,0,0,0,0,0,0.0,-0.5,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,13
530,95463.jpg,Ward,14,a,95463,Danny,Ward,52,"",45,,,0.0,0.0,0,0,0,0,false,0,0.0,0.0,330,371,0,0,0,0,0,0,0,0,0.0,1.0,1.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,10
531,199404.jpg,Oakley-Boothe,6,a,199404,Tashan,Oakley-Boothe,46,"",45,,,0.0,0.0,0,0,0,0,false,0,0.0,0.0,850,1171,2,1,0,0,0,0,0,0,0.0,0.0,1.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,17
532,80226.jpg,Aurier,6,a,80226,Serge,Aurier,24,"",59,100,100,0.1,0.3,-1,0,1,0,false,1,0.2,0.8,22347,27385,1,36,0,0,0,0,2,1,0.5,0.8,1.8,false,221,0,0,0,3,0,0,0,0,1,0,0,13,33.4,11.2,8.0,5.3,0,2,17
533,73494.jpg,Krychowiak,35,a,73494,Grzegorz,Krychowiak,20,"",50,,,0.8,4.2,0,0,0,0,false,0,0.4,3.8,9265,28041,7,17,0,0,0,0,21,0,3.5,2.3,3.8,false,540,0,2,1,9,0,0,0,1,0,0,3,106,99.0,44.0,8.0,15.2,0,3,19
534,234908.jpg,Foyth,6,a,234908,Juan,Foyth,21,"",45,,,0.0,0.0,0,0,0,0,false,0,0.0,0.0,543,688,0,1,0,0,0,0,0,0,0.0,0.0,1.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,17
535,171319.jpg,Sanches,80,i,171319,Renato,Sanches,35,Thigh injury - Expected back 04 Nov,49,0,0,0.2,1.6,-1,0,1,0,false,0,0.9,0.8,125650,165043,60,0,0,0,0,0,8,0,1.6,0.0,0.0,false,297,0,0,1,4,0,0,0,1,0,0,0,39,35.6,65.4,15.0,11.6,0,3,16
536,48332.jpg,Karnezis,57,a,48332,Orestis,Karnezis,30,"",45,,,0.0,0.0,0,0,0,0,false,0,0.0,0.0,208,343,0,0,0,0,0,0,0,0,0.0,0.0,-0.5,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,18
